County Name,Minority,Total,white,black,hispanic,american_indian,asian,pacific_Islander,other,two_or_more
381,5381,76429,71048,393,1680,587,1319,9,593,800
382,5381,76429,71048,393,1680,587,1319,9,593,800
383,5381,76429,71048,393,1680,587,1319,9,593,800
384,5381,76429,71048,393,1680,587,1319,9,593,800
385,5381,76429,71048,393,1680,587,1319,9,593,800
386,5381,76429,71048,393,1680,587,1319,9,593,800
387,5381,76429,71048,393,1680,587,1319,9,593,800
388,5381,76429,71048,393,1680,587,1319,9,593,800
389,5381,76429,71048,393,1680,587,1319,9,593,800
390,5381,76429,71048,393,1680,587,1319,9,593,800
391,5381,76429,71048,393,1680,587,1319,9,593,800
392,5381,76429,71048,393,1680,587,1319,9,593,800
393,5381,76429,71048,393,1680,587,1319,9,593,800
394,5381,76429,71048,393,1680,587,1319,9,593,800
395,5381,76429,71048,393,1680,587,1319,9,593,800
396,5381,76429,71048,393,1680,587,1319,9,593,800
397,5381,76429,71048,393,1680,587,1319,9,593,800
398,5381,76429,71048,393,1680,587,1319,9,593,800
399,5381,76429,71048,393,1680,587,1319,9,593,800
400,5381,76429,71048,393,1680,587,1319,9,593,800
401,5381,76429,71048,393,1680,587,1319,9,593,800
402,5381,76429,71048,393,1680,587,1319,9,593,800
403,5381,76429,71048,393,1680,587,1319,9,593,800
404,5381,76429,71048,393,1680,587,1319,9,593,800
405,5381,76429,71048,393,1680,587,1319,9,593,800
406,5381,76429,71048,393,1680,587,1319,9,593,800
407,5381,76429,71048,393,1680,587,1319,9,593,800
408,5381,76429,71048,393,1680,587,1319,9,593,800
409,5381,76429,71048,393,1680,587,1319,9,593,800
410,5381,76429,71048,393,1680,587,1319,9,593,800
411,5381,76429,71048,393,1680,587,1319,9,593,800
412,5381,76429,71048,393,1680,587,1319,9,593,800
413,5381,76429,71048,393,1680,587,1319,9,593,800
414,5381,76429,71048,393,1680,587,1319,9,593,800
415,5381,76429,71048,393,1680,587,1319,9,593,800
416,5381,76429,71048,393,1680,587,1319,9,593,800
417,5381,76429,71048,393,1680,587,1319,9,593,800
418,5381,76429,71048,393,1680,587,1319,9,593,800
419,5381,76429,71048,393,1680,587,1319,9,593,800
420,5381,76429,71048,393,1680,587,1319,9,593,800
421,5381,76429,71048,393,1680,587,1319,9,593,800
422,5381,76429,71048,393,1680,587,1319,9,593,800
423,5381,76429,71048,393,1680,587,1319,9,593,800
424,5381,76429,71048,393,1680,587,1319,9,593,800
425,5381,76429,71048,393,1680,587,1319,9,593,800
426,5381,76429,71048,393,1680,587,1319,9,593,800
427,5381,76429,71048,393,1680,587,1319,9,593,800
428,5381,76429,71048,393,1680,587,1319,9,593,800
429,5381,76429,71048,393,1680,587,1319,9,593,800
430,5381,76429,71048,393,1680,587,1319,9,593,800
431,5381,76429,71048,393,1680,587,1319,9,593,800
432,5381,76429,71048,393,1680,587,1319,9,593,800
433,5381,76429,71048,393,1680,587,1319,9,593,800
434,5381,76429,71048,393,1680,587,1319,9,593,800
435,5381,76429,71048,393,1680,587,1319,9,593,800
436,5381,76429,71048,393,1680,587,1319,9,593,800
437,5381,76429,71048,393,1680,587,1319,9,593,800
438,5381,76429,71048,393,1680,587,1319,9,593,800
439,5381,76429,71048,393,1680,587,1319,9,593,800
440,5381,76429,71048,393,1680,587,1319,9,593,800
441,5381,76429,71048,393,1680,587,1319,9,593,800
442,5381,76429,71048,393,1680,587,1319,9,593,800
443,5381,76429,71048,393,1680,587,1319,9,593,800
444,5381,76429,71048,393,1680,587,1319,9,593,800
445,5381,76429,71048,393,1680,587,1319,9,593,800
446,5381,76429,71048,393,1680,587,1319,9,593,800
447,5381,76429,71048,393,1680,587,1319,9,593,800
448,5381,76429,71048,393,1680,587,1319,9,593,800
449,5381,76429,71048,393,1680,587,1319,9,593,800
450,5381,76429,71048,393,1680,587,1319,9,593,800
451,5381,76429,71048,393,1680,587,1319,9,593,800
452,5381,76429,71048,393,1680,587,1319,9,593,800
453,5381,76429,71048,393,1680,587,1319,9,593,800
454,5381,76429,71048,393,1680,587,1319,9,593,800
455,5381,76429,71048,393,1680,587,1319,9,593,800
456,5381,76429,71048,393,1680,587,1319,9,593,800
457,5381,76429,71048,393,1680,587,1319,9,593,800
458,5381,76429,71048,393,1680,587,1319,9,593,800
459,5381,76429,71048,393,1680,587,1319,9,593,800
460,5381,76429,71048,393,1680,587,1319,9,593,800
461,5381,76429,71048,393,1680,587,1319,9,593,800
462,5381,76429,71048,393,1680,587,1319,9,593,800
463,5381,76429,71048,393,1680,587,1319,9,593,800
464,5381,76429,71048,393,1680,587,1319,9,593,800
465,5381,76429,71048,393,1680,587,1319,9,593,800
466,5381,76429,71048,393,1680,587,1319,9,593,800
467,5381,76429,71048,393,1680,587,1319,9,593,800
468,5381,76429,71048,393,1680,587,1319,9,593,800
469,5381,76429,71048,393,1680,587,1319,9,593,800
470,5381,76429,71048,393,1680,587,1319,9,593,800
471,5381,76429,71048,393,1680,587,1319,9,593,800
472,5381,76429,71048,393,1680,587,1319,9,593,800
473,5381,76429,71048,393,1680,587,1319,9,593,800
474,5381,76429,71048,393,1680,587,1319,9,593,800
475,5381,76429,71048,393,1680,587,1319,9,593,800
476,5381,76429,71048,393,1680,587,1319,9,593,800
477,5381,76429,71048,393,1680,587,1319,9,593,800
478,5381,76429,71048,393,1680,587,1319,9,593,800
479,5381,76429,71048,393,1680,587,1319,9,593,800
480,5381,76429,71048,393,1680,587,1319,9,593,800
481,5381,76429,71048,393,1680,587,1319,9,593,800
482,5381,76429,71048,393,1680,587,1319,9,593,800
483,5381,76429,71048,393,1680,587,1319,9,593,800
484,5381,76429,71048,393,1680,587,1319,9,593,800
485,5381,76429,71048,393,1680,587,1319,9,593,800
486,5381,76429,71048,393,1680,587,1319,9,593,800
487,5381,76429,71048,393,1680,587,1319,9,593,800
488,5381,76429,71048,393,1680,587,1319,9,593,800
489,5381,76429,71048,393,1680,587,1319,9,593,800
490,5381,76429,71048,393,1680,587,1319,9,593,800
491,5381,76429,71048,393,1680,587,1319,9,593,800
492,5381,76429,71048,393,1680,587,1319,9,593,800
493,5381,76429,71048,393,1680,587,1319,9,593,800
494,5381,76429,71048,393,1680,587,1319,9,593,800
