County Name,Bachelors,Total,High school,Bachelors
545,15285.8,76429,70314.68,15285.8
546,15285.8,76429,70314.68,15285.8
547,15285.8,76429,70314.68,15285.8
548,15285.8,76429,70314.68,15285.8
549,15285.8,76429,70314.68,15285.8
550,15285.8,76429,70314.68,15285.8
551,15285.8,76429,70314.68,15285.8
552,15285.8,76429,70314.68,15285.8
553,15285.8,76429,70314.68,15285.8
554,15285.8,76429,70314.68,15285.8
555,15285.8,76429,70314.68,15285.8
556,15285.8,76429,70314.68,15285.8
557,15285.8,76429,70314.68,15285.8
558,15285.8,76429,70314.68,15285.8
559,15285.8,76429,70314.68,15285.8
560,15285.8,76429,70314.68,15285.8
561,15285.8,76429,70314.68,15285.8
562,15285.8,76429,70314.68,15285.8
563,15285.8,76429,70314.68,15285.8
564,15285.8,76429,70314.68,15285.8
565,15285.8,76429,70314.68,15285.8
566,15285.8,76429,70314.68,15285.8
567,15285.8,76429,70314.68,15285.8
568,15285.8,76429,70314.68,15285.8
569,15285.8,76429,70314.68,15285.8
570,15285.8,76429,70314.68,15285.8
571,15285.8,76429,70314.68,15285.8
572,15285.8,76429,70314.68,15285.8
573,15285.8,76429,70314.68,15285.8
574,15285.8,76429,70314.68,15285.8
575,15285.8,76429,70314.68,15285.8
576,15285.8,76429,70314.68,15285.8
577,15285.8,76429,70314.68,15285.8
578,15285.8,76429,70314.68,15285.8
579,15285.8,76429,70314.68,15285.8
580,15285.8,76429,70314.68,15285.8
581,15285.8,76429,70314.68,15285.8
582,15285.8,76429,70314.68,15285.8
583,15285.8,76429,70314.68,15285.8
584,15285.8,76429,70314.68,15285.8
585,15285.8,76429,70314.68,15285.8
586,15285.8,76429,70314.68,15285.8
587,15285.8,76429,70314.68,15285.8
588,15285.8,76429,70314.68,15285.8
589,15285.8,76429,70314.68,15285.8
590,15285.8,76429,70314.68,15285.8
591,15285.8,76429,70314.68,15285.8
592,15285.8,76429,70314.68,15285.8
593,15285.8,76429,70314.68,15285.8
594,15285.8,76429,70314.68,15285.8
595,15285.8,76429,70314.68,15285.8
596,15285.8,76429,70314.68,15285.8
597,15285.8,76429,70314.68,15285.8
598,15285.8,76429,70314.68,15285.8
599,15285.8,76429,70314.68,15285.8
600,15285.8,76429,70314.68,15285.8
601,15285.8,76429,70314.68,15285.8
602,15285.8,76429,70314.68,15285.8
603,15285.8,76429,70314.68,15285.8
604,15285.8,76429,70314.68,15285.8
605,15285.8,76429,70314.68,15285.8
606,15285.8,76429,70314.68,15285.8
607,15285.8,76429,70314.68,15285.8
608,15285.8,76429,70314.68,15285.8
609,15285.8,76429,70314.68,15285.8
610,15285.8,76429,70314.68,15285.8
611,15285.8,76429,70314.68,15285.8
612,15285.8,76429,70314.68,15285.8
613,15285.8,76429,70314.68,15285.8
614,15285.8,76429,70314.68,15285.8
615,15285.8,76429,70314.68,15285.8
616,15285.8,76429,70314.68,15285.8
617,15285.8,76429,70314.68,15285.8
618,15285.8,76429,70314.68,15285.8
619,15285.8,76429,70314.68,15285.8
620,15285.8,76429,70314.68,15285.8
621,15285.8,76429,70314.68,15285.8
622,15285.8,76429,70314.68,15285.8
623,15285.8,76429,70314.68,15285.8
624,15285.8,76429,70314.68,15285.8
625,15285.8,76429,70314.68,15285.8
626,15285.8,76429,70314.68,15285.8
627,15285.8,76429,70314.68,15285.8
628,15285.8,76429,70314.68,15285.8
629,15285.8,76429,70314.68,15285.8
630,15285.8,76429,70314.68,15285.8
631,15285.8,76429,70314.68,15285.8
632,15285.8,76429,70314.68,15285.8
633,15285.8,76429,70314.68,15285.8
634,15285.8,76429,70314.68,15285.8
635,15285.8,76429,70314.68,15285.8
636,15285.8,76429,70314.68,15285.8
637,15285.8,76429,70314.68,15285.8
638,15285.8,76429,70314.68,15285.8
639,15285.8,76429,70314.68,15285.8
640,15285.8,76429,70314.68,15285.8
641,15285.8,76429,70314.68,15285.8
642,15285.8,76429,70314.68,15285.8
643,15285.8,76429,70314.68,15285.8
644,15285.8,76429,70314.68,15285.8
645,15285.8,76429,70314.68,15285.8
646,15285.8,76429,70314.68,15285.8
647,15285.8,76429,70314.68,15285.8
648,15285.8,76429,70314.68,15285.8
649,15285.8,76429,70314.68,15285.8
650,15285.8,76429,70314.68,15285.8
651,15285.8,76429,70314.68,15285.8
652,15285.8,76429,70314.68,15285.8
653,15285.8,76429,70314.68,15285.8
654,15285.8,76429,70314.68,15285.8
655,15285.8,76429,70314.68,15285.8
656,15285.8,76429,70314.68,15285.8
657,15285.8,76429,70314.68,15285.8
658,15285.8,76429,70314.68,15285.8
659,15285.8,76429,70314.68,15285.8
660,15285.8,76429,70314.68,15285.8
661,15285.8,76429,70314.68,15285.8
662,15285.8,76429,70314.68,15285.8
663,15285.8,76429,70314.68,15285.8
664,15285.8,76429,70314.68,15285.8
665,15285.8,76429,70314.68,15285.8
666,15285.8,76429,70314.68,15285.8
667,15285.8,76429,70314.68,15285.8
668,15285.8,76429,70314.68,15285.8
669,15285.8,76429,70314.68,15285.8
670,15285.8,76429,70314.68,15285.8
671,15285.8,76429,70314.68,15285.8
672,15285.8,76429,70314.68,15285.8
673,15285.8,76429,70314.68,15285.8
674,15285.8,76429,70314.68,15285.8
675,15285.8,76429,70314.68,15285.8
676,15285.8,76429,70314.68,15285.8
677,15285.8,76429,70314.68,15285.8
678,15285.8,76429,70314.68,15285.8
679,15285.8,76429,70314.68,15285.8
